user_id,group,week_number,anomaly_score,label,label_name
U0000,NORMAL,0,0.0526,0,NORMAL
U0000,NORMAL,1,0.0207,0,NORMAL
U0000,NORMAL,2,0.093,0,NORMAL
U0000,NORMAL,3,0.1271,0,NORMAL
U0000,NORMAL,4,0.0439,0,NORMAL
U0000,NORMAL,5,0.0305,0,NORMAL
U0000,NORMAL,6,0.0233,0,NORMAL
U0000,NORMAL,7,0.0068,0,NORMAL
U0000,NORMAL,8,0.0101,0,NORMAL
U0000,NORMAL,9,0.0366,0,NORMAL
U0000,NORMAL,10,0.0853,0,NORMAL
U0000,NORMAL,11,0.0943,0,NORMAL
U0000,NORMAL,12,0.1198,0,NORMAL
U0001,NORMAL,0,0.1138,0,NORMAL
U0001,NORMAL,1,0.0,0,NORMAL
U0001,NORMAL,2,0.0065,0,NORMAL
U0001,NORMAL,3,0.0109,0,NORMAL
U0001,NORMAL,4,0.0303,0,NORMAL
U0001,NORMAL,5,0.053,0,NORMAL
U0001,NORMAL,6,0.0873,0,NORMAL
U0001,NORMAL,7,0.0335,0,NORMAL
U0001,NORMAL,8,0.027,0,NORMAL
U0001,NORMAL,9,0.0242,0,NORMAL
U0001,NORMAL,10,0.0249,0,NORMAL
U0001,NORMAL,11,0.0284,0,NORMAL
U0001,NORMAL,12,0.0218,0,NORMAL
U0002,NORMAL,0,0.0327,0,NORMAL
U0002,NORMAL,1,0.0006,0,NORMAL
U0002,NORMAL,2,0.0,0,NORMAL
U0002,NORMAL,3,0.0,0,NORMAL
U0002,NORMAL,4,0.0,0,NORMAL
U0002,NORMAL,5,0.0,0,NORMAL
U0002,NORMAL,6,0.001,0,NORMAL
U0002,NORMAL,7,0.0,0,NORMAL
U0002,NORMAL,8,0.0,0,NORMAL
U0002,NORMAL,9,0.0022,0,NORMAL
U0002,NORMAL,10,0.0155,0,NORMAL
U0002,NORMAL,11,0.0,0,NORMAL
U0002,NORMAL,12,0.003,0,NORMAL
U0003,NORMAL,0,0.1183,0,NORMAL
U0003,NORMAL,1,0.0,0,NORMAL
U0003,NORMAL,2,0.0178,0,NORMAL
U0003,NORMAL,3,0.0274,0,NORMAL
U0003,NORMAL,4,0.0249,0,NORMAL
U0003,NORMAL,5,0.0199,0,NORMAL
U0003,NORMAL,6,0.0171,0,NORMAL
U0003,NORMAL,7,0.019,0,NORMAL
U0003,NORMAL,8,0.0164,0,NORMAL
U0003,NORMAL,9,0.0202,0,NORMAL
U0003,NORMAL,10,0.015,0,NORMAL
U0003,NORMAL,11,0.0117,0,NORMAL
U0003,NORMAL,12,0.0133,0,NORMAL
U0004,NORMAL,0,0.0,0,NORMAL
U0004,NORMAL,1,0.043,0,NORMAL
U0004,NORMAL,2,0.107,0,NORMAL
U0004,NORMAL,3,0.0377,0,NORMAL
U0004,NORMAL,4,0.0114,0,NORMAL
U0004,NORMAL,5,0.0,0,NORMAL
U0004,NORMAL,6,0.0,0,NORMAL
U0004,NORMAL,7,0.0086,0,NORMAL
U0004,NORMAL,8,0.0123,0,NORMAL
U0004,NORMAL,9,0.1308,0,NORMAL
U0004,NORMAL,10,0.1528,0,NORMAL
U0004,NORMAL,11,0.1942,0,NORMAL
U0004,NORMAL,12,0.161,0,NORMAL
U0005,NORMAL,0,0.0529,0,NORMAL
U0005,NORMAL,1,0.0,0,NORMAL
U0005,NORMAL,2,0.0021,0,NORMAL
U0005,NORMAL,3,0.0,0,NORMAL
U0005,NORMAL,4,0.0104,0,NORMAL
U0005,NORMAL,5,0.0055,0,NORMAL
U0005,NORMAL,6,0.0086,0,NORMAL
U0005,NORMAL,7,0.016,0,NORMAL
U0005,NORMAL,8,0.003,0,NORMAL
U0005,NORMAL,9,0.001,0,NORMAL
U0005,NORMAL,10,0.0014,0,NORMAL
U0005,NORMAL,11,0.0018,0,NORMAL
U0005,NORMAL,12,0.0044,0,NORMAL
U0006,NORMAL,0,0.0529,0,NORMAL
U0006,NORMAL,1,0.0,0,NORMAL
U0006,NORMAL,2,0.0,0,NORMAL
U0006,NORMAL,3,0.0,0,NORMAL
U0006,NORMAL,4,0.0014,0,NORMAL
U0006,NORMAL,5,0.0035,0,NORMAL
U0006,NORMAL,6,0.0004,0,NORMAL
